,main_category,word,value,tag
2,cat2,``,46,DET
811,cat1,presque,4,ADV
563,cat1,retirer,4,VERB
504,cat2,matelas,4,SPACE
401,cat1,satisfait,4,VERB
43,cat1,``,4,DET
783,cat1,multiple,4,NOUN
638,cat1,choix,3,NOUN
1784,cat1,rappeler,3,VERB
267,cat2,chaise,3,ADJ
122,cat2,chemise,3,NOUN
915,cat1,enquête,3,NOUN
433,cat1,parvenir,3,VERB
713,cat2,certificat,3,NOUN
1245,cat1,inexister,3,VERB
1082,cat1,machine,3,NOUN
347,cat1,déplorable,3,ADJ
1228,cat1,premier,3,ADJ
389,cat1,fragile,3,PROPN
1233,cat1,malgré,3,ADP
387,cat1,partiellemer,3,VERB
1990,cat1,colère,3,ADJ
1866,cat1,décevoir,3,VERB
1713,cat2,séjour,3,ADP
1717,cat1,dépasser,3,VERB
1593,cat1,convier,3,NOUN
149,cat1,virement,3,VERB
580,cat2,kilogramme,3,NOUN
1009,cat1,cruellemer,2,VERB
345,cat2,sommier,2,ADJ
1900,cat1,fauteuil,2,NOUN
1308,cat1,sérieux,2,ADJ
1913,cat1,maintenant,2,ADV
329,cat1,juillet,2,NOUN
209,cat2,degré,2,ADJ
1415,cat1,introuvable,2,ADJ
1310,cat1,correctement,2,ADV
889,cat2,confirmation,2,NOUN
322,cat2,tv,2,DET
320,cat1,relancer,2,VERB
902,cat1,crier,2,ADJ
346,cat1,supprimer,2,VERB
186,cat2,cest,2,VERB
909,cat1,valider,2,VERB
1306,cat1,imbécile,2,ADJ
351,cat2,valise,2,VERB
868,cat1,rarement,2,ADV
865,cat1,éventrer,2,VERB
1889,cat1,déposer,2,VERB
1013,cat1,tjrs,2,VERB
1441,cat1,formater,2,VERB
179,cat1,modèle,2,NOUN
1444,cat2,bain,2,ADJ
1880,cat1,incapable,2,ADJ
175,cat2,🤔,2,VERB
171,cat1,exemple,2,NOUN
170,cat2,emballage,2,NOUN
1874,cat1,abîmé,2,NOUN
307,cat1,abîmer,2,VERB
296,cat1,anciennement,2,NOUN
1940,cat1,inutilisable,2,ADJ
